Acur�cia, ,,,,,,,Aprimoramento de Parâmetros
,KNN,SVM,Tree,Random Forest,Naive Bayes,,,
Rodada 2,"0,625","0,625","0,625","0,75","0,375",,Rodada 2,
Rodada 3,"0,889","0,666","0,555","0,555","0,222",,Rodada 3,
Rodada 4,"0,3","0,3","0,4","0,4","0,4",,Rodada 4,
Rodada 5,"0,429","0,286","0,429","0,571","0,429",,Rodada 5,
Rodada 6,"0,571","0,714","0,143","0,429","0,286",,Rodada 6,
Rodada 7,"0,6",1,"0,5","0,9","0,7",,Rodada 7,
Rodada 8,"0,7","0,9","0,7","0,9","0,7",,Rodada 8,
Rodada 9,"0,5","0,6","0,8","0,7","0,5",,Rodada 9,
Rodada 10,"0,5","0,7","0,6","0,8","0,5",,Rodada 10,
Rodada 11,"0,8","0,9",1,1,1,,Rodada 11,
,"0,5914","0,6691","0,5752","0,7005","0,5112",,Rodada 12,
Precis�o Empate,,,,,,,,
Algoritmo,KNN,SVM,Tree,Random Forest,Naive Bayes,,,
Rodada 2,"0,5",0,0,0,0,,,
Rodada 3,"0,667",0,"0,4",0,"0,167",,,
Rodada 4,0,0,0,0,0,,,
Rodada 5,"0,429",0,"0,5",1,"0,667",,,
Rodada 6,"0,607","0,905","0,02","0,417","0,31",,,
Rodada 7,"0,25",1,0,1,"0,33",,,
Rodada 8,"0,5","0,75","0,5","0,75","0,5",,,
Rodada 9,"0,5","0,5","0,667",1,"0,5",,,
Rodada 10,"0,2","0,25",0,"0,33","0,167",,,
Rodada 11,"0,667",0,"0,33","0,33","0,5",,,
,,,,,,,,
Precis�o Vit�ria Mandante,,,,,,,,
Algoritmo,KNN,SVM,Tree,Random Forest,Naive Bayes,,,
Rodada 2,1,"0,625","0,625","0,714",1,,,
Rodada 3,1,"0,667",1,"0,667",0,,,
Rodada 4,"0,333","0,333","0,333","0,333","0,333",,,
Rodada 5,0,"0,2","0,25",0,0,,,
Rodada 6,1,1,0,"0,667",0,,,
Rodada 7,"0,5",1,1,1,0,,,
Rodada 8,"0,857",1,"0,833",1,1,,,
Rodada 9,"0,5","0,571",1,"0,667","0,333",,,
Rodada 10,"0,8",1,"0,833",1,1,,,
Rodada 11,0,"0,667","0,6","0,6",1,,,
,,,,,,,,
Precis�o Vit�ria Visitante,,,,,,,,
Algoritmo,KNN,SVM,Tree,Random Forest,Naive Bayes,,,
Rodada 2,"0,333",0,0,1,"0,5",,,
Rodada 3,1,0,0,"0,5","0,333",,,
Rodada 4,0,0,1,1,1,,,
Rodada 5,0,"0,2","0,25",0,0,,,
Rodada 6,0,0,1,0,1,,,
Rodada 7,1,1,"0,667","0,923","0,857",,,
Rodada 8,0,0,0,0,"0,333",,,
Rodada 9,"0,5","0,667",1,"0,667","0,667",,,
Rodada 10,0,1,1,1,0,,,
Rodada 11,0,"0,667",1,1,1,,,
