,,,,,,,,,,,,,,,,,
,Tree,,,,,,SVM,,,,,,,,,,
,Tree(2),Tree(4),Tree(6),Tree(8),,,Polynomial,RBF,SIGMOID,,,,,Tree(10),Tree(20),Tree(30),Tree(40)
Rodada 2,"0,625","0,75","0,625","0,625",,Rodada 2,"0,375","0,625","0,75",,,,Rodada 2,"0,625","0,625","0,625","0,625"
Rodada 3,"0,556","0,556","0,667","0,667",,Rodada 3,"0,444","0,667","0,667",,,,Rodada 3,"0,4","0,3","0,3","0,3"
Rodada 4,"0,4","0,4","0,3","0,4",,Rodada 4,"0,7","0,3","0,3",,,,Rodada 4,"0,4","0,3","0,3","0,3"
Rodada 5,"0,429","0,429","0,429","0,429",,Rodada 5,"0,571","0,286","0,143",,,,Rodada 5,"0,429","0,143","0,143","0,143"
Rodada 6,"0,143","0,286","0,286","0,429",,Rodada 6,"0,429","0,714","0,714",,,,Rodada 6,"0,429","0,714","0,571","0,571"
Rodada 7,"0,5","0,4","0,4","0,7",,Rodada 7,"0,8",1,"0,7",,,,Rodada 7,"0,7","0,7","0,2","0,2"
Rodada 8,"0,7","0,6","0,6","0,8",,Rodada 8,1,"0,8","0,6",,,,Rodada 8,"0,5","0,6","0,5","0,6"
Rodada 9,"0,7","0,6","0,6","0,5",,Rodada 9,"0,5","0,6","0,9",,,,Rodada 9,"0,5","0,5","0,4","0,4"
Rodada 10,"0,6","0,7","0,7","0,7",,Rodada 10,"0,7","0,7","0,7",,,,Rodada 10,"0,7","0,6","0,8","0,8"
Rodada 11,"0,6","0,6","0,6","0,6",,Rodada 11,"0,8","0,7","0,5",,,,Rodada 11,"0,6","0,7","0,7","0,6"
Rodada 12,"0,7","0,7","0,6","0,6",,Rodada 12,"0,8","0,8","0,2",,,,Rodada 12,"0,6","0,5","0,6","0,5"
,"0,541","0,547","0,528","0,586",,,"0,647","0,654","0,561",,,,,"0,535","0,517","0,467","0,458"
,NB(Discretize),,NB(Normal),,,,KNN,,,,,,,,,,
,,,,,,,1,3,5,7,,,,,,,
Rodada 2,"0,375",,"0,375",,,Rodada 2,"0,375","0,25","0,625","0,75",,,,,,,
Rodada 3,"0,333",,"0,222",,,Rodada 3,"0,667","0,667","0,889","0,778",,,,,,,
Rodada 4,"0,4",,"0,4",,,Rodada 4,"0,3","0,3","0,3","0,3",,,,,,,
Rodada 5,"0,286",,"0,429",,,Rodada 5,"0,571","0,429","0,429","0,429",,,,,,,
Rodada 6,"0,143",,"0,286",,,Rodada 6,"0,286","0,429","0,571","0,429",,,,,,,
Rodada 7,"0,2",,"0,7",,,Rodada 7,"0,7","0,9","0,6","0,6",,,,,,,
Rodada 8,"0,1",,"0,5",,,Rodada 8,"0,8","0,7","0,7","0,7",,,,,,,
Rodada 9,"0,4",,"0,5",,,Rodada 9,"0,5","0,5","0,5","0,3",,,,,,,
Rodada 10,"0,7",,"0,5",,,Rodada 10,"0,4","0,5","0,5","0,6",,,,,,,
Rodada 11,"0,5",,"0,7",,,Rodada 11,"0,4","0,3","0,2","0,3",,,,,,,
Rodada 12,"0,6",,"0,6",,,Rodada 12,"0,3","0,5","0,5","0,6",,,,,,,
TOTAL,"0,367",,"0,473818181818182",,,,"0,482","0,498","0,529","0,526",,,,,,,
,Random Forest,,,,,,,,,,,,,,,,
,100,200,300,500,,,,,,,,,,,,,
Rodada 2,"0,375","0,75","0,625","0,5",,,,,,,,,,,,,
Rodada 3,"0,667","0,667","0,667","0,667",,,,,,,,,,,,,
Rodada 4,"0,4","0,4","0,4","0,4",,,,,,,,,,,,,
Rodada 5,"0,429","0,571","0,571","0,429",,,,,,,,,,,,,
Rodada 6,"0,571","0,571","0,571","0,571",,,,,,,,,,,,,
Rodada 7,"0,9",1,"0,9",1,,,,,,,,,,,,,
Rodada 8,"0,8","0,9","0,8","0,9",,,,,,,,,,,,,
Rodada 9,"0,7","0,7","0,7","0,7",,,,,,,,,,,,,
Rodada 10,"0,7","0,7","0,7","0,7",,,,,,,,,,,,,
Rodada 11,"0,8","0,8","0,8","0,8",,,,,,,,,,,,,
Rodada 12,"0,8","0,8","0,8","0,8",,,,,,,,,,,,,
,"0,649","0,714","0,685","0,679",,,,,,,,,,,,,
